PropertyName,PropertySubName,LocationAdvantages,Link,PriceDetails,TopFacilities
Smartworld One DXP,"2, 3, 4 BHK Apartment in Sector 113, Gurgaon","{'bajghera road': '0.8 km', 'palam vihar halt': '2.5 km', 'dpsg palam vihar': '3.1 km', 'park hospital': '3.1 km', 'gurgaon railway station': '4.9 km', 'the northcap university': '5.4 km', 'dwarka expy': '1.2 km', 'hyatt place gurgaon udyog vihar': '7.7 km', 'dwarka sector 21, metro station': '7.2 km', 'pacific d21 mall': '7.4 km', 'indira gandhi international airport': '14.7 km', 'hamoni golf camp': '6.2 km', 'fun n food waterpark': '8.8 km', 'accenture ddc5': '9 km'}",https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,370 sq.ft.', 'price-range': '₹ 2 - 2.4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 - 2,050 sq.ft.', 'price-range': '₹ 2.25 - 3.59 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,600 sq.ft.', 'price-range': '₹ 3.24 - 4.56 Cr'}}","['Swimming Pool', 'Salon', 'Restaurant', 'Spa', 'Cafeteria', 'Sun Deck', '24x7 Security', 'Club House', 'Gated Community']"
M3M Crown,"3, 4 BHK Apartment in Sector 111, Gurgaon","{'dpsg palam vihar gurugram': '1.4 km', 'the northcap university': '4.4 km', 'park hospital, palam vihar': '1.4 km', 'pacific d21 mall': '8.2 km', 'palam vihar halt railway station': '1.2 km', 'dwarka sector 21 metro station': '8.1 km', 'dwarka expressway': '0.45 km', 'fun n food water park': '8.1 km', 'indira gandhi international airport': '14.1 km', 'tau devilal sports complex': '11.2 km', 'hamoni golf camp': '5 km', 'hyatt place': '6.1 km', 'altrade business centre': '11.2 km'}",https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,605 - 2,170 sq.ft.', 'price-range': '₹ 2.2 - 3.03 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,248 - 2,670 sq.ft.', 'price-range': '₹ 3.08 - 3.73 Cr'}}","['Bowling Alley', 'Mini Theatre', 'Manicured Garden', 'Swimming Pool', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Barbecue', 'Sauna']"
Adani Brahma Samsara Vilasa,"Land, 3, 4 BHK Independent Floor in Sector 63, Gurgaon","{'aipl business club sector 62': '2.7 km', 'heritage xperiential learning school': '2 km', 'ck birla hospital': '2.5 km', 'paras trinity mall sector 63': '3.5 km', 'rapid metro station sector 56': '3.8 km', 'de adventure park': '6.8 km', 'golf course ext rd': '0.099 km', 'doubletree by hilton hotel gurgaon': '3.6 km', 'kiit college of engineering sohna road': '8.4 km', 'mehrauli-gurgaon road': '11.8 km', 'indira gandhi international airport': '21.1 km', 'nirvana rd': '0.16 km', 'teri golf course': '8.7 km'}",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995,"{'3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Super Built-up Area', 'area': '1,800 - 3,150 sq.ft.', 'price-range': '₹ 2.43 - 15.75 Cr'}, '4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Super Built-up Area', 'area': '2,750 - 4,500 sq.ft.', 'price-range': '₹ 3.36 - 22.5 Cr'}, 'Land': {'building_type': '', 'area_type': 'Plot Area', 'area': '500 - 4,329 sq.ft.', 'price-range': '₹ 2.05 - 41.13 Cr'}}","['Terrace Garden', 'Gazebo', 'Fountain', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Indoor Games']"
Sobha City,"2, 3, 4 BHK Apartment in Sector 108, Gurgaon","{'the shikshiyan school': '2.9 km', 'wtc plaza': '4 km', 'luxus haritma resort': '4.2 km', 'bsf golf course': '4.7 km', 'dwarka expressway': '5.1 km', 'rions hospital': '5.6 km', 'gurgaon': '5.9 km', 'the northcap university': '9.2 km', 'dwarka sector 21': '9.9 km', 'nehru stadium': '10.7  km', 'fun n food waterpark': '12.1 km', 'igi airport': '19.3 km', 'vasant kunj': '20.8 km'}",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,381 - 1,692 sq.ft.', 'price-range': '₹ 1.55 - 3.21 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,711 - 2,343 sq.ft.', 'price-range': '₹ 1.76 - 4.79 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,423 - 2,963 sq.ft.', 'price-range': '₹ 2.5 - 6.06 Cr'}}","['Swimming Pool', 'Volley Ball Court', 'Aerobics Centre', 'Card Room', 'Barbecue', 'Sauna', 'Steam Room', 'Creche/Day care', 'Skating Rink']"
Signature Global City 93,"2, 3 BHK Independent Floor in Sector 93 Gurgaon","{'pranavananda int. school': '0.45 km', 'dlf site central office': '1.2 km', 'holiday inn gurugram sector 90': '2 km', 'krishna hospital': '2.3 km', 'royal institute of science': '2.4 km', 'sapphire 83 mall': '6.3 km', 'nh48': '6.9 km', 'garhi harsaru junction': '7.2 km', 'manesar golf course': '7.3 km', 'aapnoghar': '9.6 km', 'igi airport': '31 km'}",https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '981 - 1,118 sq.ft.', 'price-range': '₹ 93.01 L - 1.06 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,235 - 1,530 sq.ft.', 'price-range': '₹ 1.12 - 1.45 Cr'}}","['Mini Theatre', 'Doctor on Call', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Salon']"
Whiteland The Aspen,"3, 4, 5 BHK Apartment in Sector 76, Gurgaon","{'vega schools nh-8': '0.65 km', 'dlf corporate greens': '6.2 km', 'miracles apollo cradle hospital': '6 km', 'sapphire 83 mall': '3.7 km', 'hyatt regency gurugram': '3.9 km', 'nh 48': '3.3 km', 'garhi harsaru junction': '11.1 km', 'indira gandhi international airport': '25.9 km', 'tau devilal sports complex': '10.4 km', 'golden greens golf & resorts limited': '9.2 km', 'de adventure park': '8.8 km'}",https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,290 - 2,937 sq.ft.', 'price-range': '₹ 3.07 - 3.96 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,243 - 12,613 sq.ft.', 'price-range': '₹ 4.35 - 17.39 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '6,096 - 7,582 sq.ft.', 'price-range': '₹ 8.21 - 10.24 Cr'}}","['Reflexology Park', 'Card Room', 'High Speed Elevators', 'Sauna', 'Jacuzzi', 'Spa', 'Entrance Lobby', 'Yoga/Meditation Area', 'Club House']"
Bestech Altura,"3, 4 BHK Apartment in Sector 79, Gurgaon","{'mount olympus junior school': '1 km', 'miracles apollo hospital': '4.8 km', 'sapphire 83 mall': '5.4 km', 'nh -8': '6.5 km', 'savoy suites, manesar': '6.9 km', 'golden greens golf & resorts': '8.2 km', 'imt manesar': '9.2 km', 'amity university gurugram': '12 km', 'golf course extension road': '13.6 km', 'indira gandhi international airport': '31 km'}",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,015 - 2,150 sq.ft.', 'price-range': '₹ 1.53 - 1.85 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,250 - 2,675 sq.ft.', 'price-range': '₹ 1.71 - 2.46 Cr'}}","['Swimming Pool', 'Football', 'Flower Garden', 'Reading Lounge', 'School', 'Pergola', 'Skating Rink', 'Grocery Shop', 'Squash Court']"
Elan The Presidential,"3, 4, 5 BHK Apartment in Sector 106, Gurgaon","{'dwarka expy, sector 109': '0.85 km', 'euro international school, sector- 109': '1.9 km', 'jai sai ram hospital': '2.4 km', 'aryan hospital': '5.6 km', 'idea cosmic plaza': '6 km', 'the northcap university': '7.2 km', 'indira gandhi intl airport': '17.8 km', 'gurgaon railway station': '3.2 km'}",https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,347 - 2,600 sq.ft.', 'price-range': '₹ 4.05 - 8.88 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,692 - 3,100 sq.ft.', 'price-range': '₹ 4.89 - 10.59 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,275 - 4,100 sq.ft.', 'price-range': '₹ 6 - 14 Cr'}}","['Swimming Pool', 'Aerobics Centre', 'Shopping Centre', 'Video Door Security', 'Amphitheatre', 'Yoga/Meditation Area', 'CCTV Camera Security', 'Jogging Track', '24x7 Security']"
Signature Global City 92,"2, 3 BHK Independent Floor in Sector 92, Gurgaon","{'royal institute of science & management': '1.4 km', 'pataudi road': '3.3 km', 'holiday inn sector 90': '3.5 km', 'rps international school': '3.8 km', 'garhi harsaru junction': '3.9 km', 'aarvy healthcare hospital': '4 km', 'iris broadway mall': '4.8 km', 'imt manesar': '6.6 km', 'dwarka expressway': '6.6 km', 'indira gandhi intl airport': '32.5 km'}",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '959 - 1,145 sq.ft.', 'price-range': '₹ 1.26 - 1.51 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,091 - 1,535 sq.ft.', 'price-range': '₹ 86.46 L - 4.01 Cr'}}","['Swimming Pool', 'Reflexology Park', 'Terrace Garden', 'Waiting Lounge', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Sun Deck', 'Amphitheatre']"
Emaar Digihomes,"2, 3 BHK Apartment in Sector 62, Gurgaon","{'imperia mindspace': '0.14 km', 'aipl business tower': '0.16 km', 'heritage school': '1.3 km', 'lotus valley intl school, gurgaon': '2.6 km', 'gurugram university': '3.6 km', 'sector 55-56 metro station': '3.9 km', 'park hospital': '5.5 km', 'omaxe gurgaon mall': '5.8 km', 'sushant university': '6.1 km', 'badshahpur sohna rd hwy,sector 48': '7.5 km', 'indira gandhi intl airport': '24.8 km'}",https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,508.26 sq.ft.', 'price-range': '₹ 1.82 - 3.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,588.79 sq.ft.', 'price-range': '₹ 2 - 6.01 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Salon', 'Card Room', 'Restaurant', 'Spa', 'Creche/Day care', 'Banquet Hall', 'Lawn Tennis Court']"
Signature Global City 79B,"2, 3 BHK Independent Floor in Sector 79, Gurgaon","{'naurangpur cricket stadium': '0.85 km', 'naurangpur road': '1.4 km', 'national highway  48': '5.7 km', 'vatika town square-inxt': '6.4 km', 'ompee international school': '7.9 km', 'manesar bus stand': '8.1 km', 'yashlok medical centre': '8.3 km', 'euro international school': '9 km', 'sushant university': '19.7 km', 'indira gandhi intl airport': '32.1 km'}",https://www.99acres.com/signature-global-city-79b-sector-79-gurgaon-npxid-r404401,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,055 sq.ft.', 'price-range': '₹ 1.05 - 1.5 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,325 - 1,525 sq.ft.', 'price-range': '₹ 1.35 - 1.84 Cr'}}","['Swimming Pool', 'Reflexology Park', 'Gazebo', 'Banquet Hall', 'Cricket Pitch', 'Sun Deck', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool']"
DLF The Arbour,4 BHK Apartment in Sector 63 Gurgaon,"{'worldmark gurgaon': '1.5 km', 'capital cyberscape': '3.1 km', 'the shriram millennium school': '3 km', 'doubletree by hilton hotel': '5.2 km', 'sector 55-56 metro station': '5.3 km', 'park hospital': '5.8 km', 'sushant university': '6.9 km', 'de adventure park': '5.9 km', 'badshahpur sohna hwy': '8.7 km', 'tau devilal sports complex': '9.6 km', 'gurgaon railway station': '15.6 km', 'igi airport': '22.7 km'}",https://www.99acres.com/dlf-the-arbour-sector-63-gurgaon-npxid-r404070,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,950 sq.ft.', 'price-range': '₹ 7 - 7.31 Cr'}}","['Swimming Pool', 'Community Hall', 'Yoga/Meditation Area', '24x7 Security', 'Club House', 'Gated Community', 'Gymnasium', 'Landscape Garden', ""Children's Play Area""]"
M3M Antalya Hills,"2, 3 BHK Apartment in Sector 79 Gurgaon","{'nakhrola stadium': '6 km', 'delhi - jaipur expressway': '4.4 km', 'miracles apollo cradle hospital': '5.7 km', 'vatika town square-inxt mall': '5.8 km', 'savoy suites': '6.4 km', 'bal bharati public school': '6.8 km', 'vatika business centre': '12.9 km', 'gurugram university': '16.1 km', 'golden greens golf & resorts limited': '11.6 km', 'garhi harsaru junction': '12 km', 'de adventure park': '11.3 km', 'indira gandhi int. airport': '31.4 km'}",https://www.99acres.com/m3m-antalya-hills-sector-79-gurgaon-npxid-r402610,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,193 - 1,200 sq.ft.', 'price-range': '₹ 1.3 - 1.31 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,534 sq.ft.', 'price-range': '₹ 1.67 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Lounge', 'Reflexology Park', 'Restaurant', 'Terrace Garden', 'Sauna', 'Spa', 'Gazebo']"
Signature Global City 81,"2, 3 BHK Independent Floor in Sector 81, Gurgaon","{""st. xavier's high school"": '0.9 km', 'miracles apollo cradle': '1.6 km', 'ambience mall new': '2.3 km', 'nakhrola stadium': '2.3 km', 'dwarka expressway': '4.3 km', 'nh8': '4.5 km', 'hyatt regency gurgaon': '5.6 km'}",https://www.99acres.com/signature-global-city-81-sector-81-gurgaon-npxid-r380265,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '546.12 sq.ft.', 'price-range': '₹ 80.01 - 83 L'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '653.17 sq.ft.', 'price-range': '₹ 99.26 L - 1.15 Cr'}}","['Swimming Pool', 'Flower Garden', 'Jacuzzi', 'Wi-Fi Connectivity', 'Amphitheatre', 'Power Back up Lift', 'Vastu Compliant', 'Basketball Court', 'Badminton Court']"
SS Linden Floors,"4 BHK Independent Floor in Sector 84, Gurgaon","{'delhi public school': '650 meters', 'elan miracle mall': '1.5 km', 'dwarka expressway': '1.7 km', 'holiday inn gurugram sector 90': '2.7 km', 'miracles apollo cradle spectra hospital': '2.9 km', 'agri business management collage': '4.4 km', 'delhi jaipur expressway': '5.5 km', 'gurgaon railway station': '13.9 km', 'indira gandhi international airport': '27.7 km'}",https://www.99acres.com/ss-linden-floors-sector-84-gurgaon-npxid-r383068,"{'4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,487.57 - 1,558 sq.ft.', 'price-range': '₹ 2 - 2.41 Cr'}}","['Swimming Pool', 'School', 'Entrance Lobby', 'CCTV Camera Security', 'Club House', 'Gated Community', 'Landscape Garden', 'Lift(s)', 'Car Parking']"
Mahindra Luminare,"3, 4, 5 BHK Apartment in Sector 59, Gurgaon","{'grand hyatt gurgaon': '1.7 km', 'duke horse riding club': '2.1 km', 'pvr drive in cinema': '2.2 km', 'w pratiksha hospital': '2.6 km', 'sector 55-56 metro station': '2.7 km', 'metro world mall': '3.7 km', 'unicosmos school': '3.9 km', 'sushant university': '4.4 km', 'faridabad gurgaon road': '4.9 km', 'sohna road': '6.5 km', 'bestech business tower': '8.3 km', 'appu ghar': '9.2 km', 'skyjumper trampoline park': '10 km', 'indira gandhi international airport': '20.6 km', 'axis bank': '0.4 km'}",https://www.99acres.com/mahindra-luminare-sector-59-gurgaon-npxid-r62235,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,534.61 - 3,030 sq.ft.', 'price-range': '₹ 4.5 - 10.87 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,009.05 - 2,689.26 sq.ft.', 'price-range': '₹ 4.6 - 13.45 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,384.52 sq.ft.', 'price-range': '₹ 4.77 - 11.54 Cr'}}","['Swimming Pool', 'Card Room', 'Restaurant', 'Spa', 'Squash Court', 'Gazebo', 'Banquet Hall', 'Lawn Tennis Court', 'Amphitheatre']"
M3M Golf Hills,"2, 3, 4 BHK Apartment in Sector 79, Gurgaon","{'nh8': '5 min', 'kmp expressway': '10 min', 'dwarka expressway': '15 min', 'karma lakelands': '5 min', 'jungle safari & trails': '15 min', 'dps manesar': '15 min', 'medanta hospital': '15 min'}",https://www.99acres.com/m3m-golf-hills-sector-79-gurgaon-npxid-r405181,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,420 sq.ft.', 'price-range': '₹ 1.49 - 1.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,532 - 2,155 sq.ft.', 'price-range': '₹ 1.61 - 3.49 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,630 - 2,677 sq.ft.', 'price-range': '₹ 2.78 - 4.34 Cr'}}","['Salon', 'Spa', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Entrance Lobby', 'Yoga/Meditation Area']"
Suncity Vatsal Valley,"2, 3 BHK Independent Floor in Gwal Pahari, Gurgaon","{'faridabad - gurgaon road': '0.17 km', ""lingaya's lalita devi institute"": '1.6 km', 'asf insignia sez': '3.2 km', 'unicosmos school': '5.7 km', 'banjara market gurugram': '5.9 km', 'sushant university': '6.5 km', 'sector 55-56 metro station': '6.6 km', 'central plaza mall': '8.9 km', 'paras hospitals, gurgaon': '8.9 km', 'badshahpur sohna rd hwy': '15.3 km', 'gurgaon railway station': '19.5 km', 'indira gandhi intl airport': '21.3 km'}",https://www.99acres.com/suncity-vatsal-valley-gwal-pahari-gurgaon-npxid-r383788,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '500 - 560 sq.ft.', 'price-range': '₹ 96 L - 1.1 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '755 - 770 sq.ft.', 'price-range': '₹ 1.22 - 1.41 Cr'}}","['Earthquake Resistant', 'Vastu Compliant', 'Entrance Lobby', '24/7 Power Backup', '24/7 Water Supply', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)', 'Car Parking']"
Whiteland Blissville,"3 BHK Apartment in Sector 76, Gurgaon","{'vega school': '0.65 km', 'indian school of hospitality': '3.6 km', 'vatika city centre': '3.5 km', 'aatish hospital': '2.1 km', 'hyatt regency gurgaon': '3.6 km', 'nh 48': '1.9 km', 'info technology park phase 2': '7.7 km', 'huda metro station': '16 km', 'garhi harsaru junction': '11 km', 'igi airport': '27.9 km', 'southern peripheral rd': '4.9 km'}",https://www.99acres.com/whiteland-blissville-sector-76-gurgaon-npxid-r396984,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,300 - 1,690 sq.ft.', 'price-range': '₹ 1.4 - 2.47 Cr'}}","['Lounge', 'Barbecue', 'Creche/Day care', 'Yoga/Meditation Area', 'Club House', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)']"
Trump Tower,"3, 4 BHK Apartment in Sector 65, Gurgaon","{'worldmark gurgaon': '0.3 km', 'global ways school': '3.5 km', 'park hospital': '4.4 km', 'gurugram university': '5.2 km', 'radisson hotel': '5.3 km', 'nh 248a': '6.3 km', 'sector 55/56 metro station': '6.5 km', 'garhi harsaru junction': '17.8 km', 'indira gandhi international airport': '25.2 km'}",https://www.99acres.com/trump-tower-sector-65-gurgaon-npxid-r296597,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,525 sq.ft.', 'price-range': '₹ 8.2 - 8.64 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '4,550 - 6,050 sq.ft.', 'price-range': '₹ 10.3 - 15.29 Cr'}}","['Valet Parking', 'Foosball', 'Concierge Service', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Laundry', 'Cigar Lounge']"
Tulip Monsella,"3, 4, 5 BHK Apartment in Sector 53, Gurgaon","{'mavens inn': '0.35 km', 'sanar international hospital': '0.5 km', 'central plaza mall': '1 km', 'sector 53-54 metro station': '1.3 km', 'iilm university, gurugram': '1.6 km', 'the banyan tree world school': '2 km', 'the big tree cafe': '2.7 km', 'dlf golf and country club': '4.6 km', 'doubletree by hilton hotel': '1.6 km'}",https://www.99acres.com/tulip-monsella-sector-53-gurgaon-npxid-r390137,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,638 - 1,646 sq.ft.', 'price-range': '₹ 6 - 7.22 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,229 sq.ft.', 'price-range': '₹ 9.2 - 9.53 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,822 sq.ft.', 'price-range': '₹ 10.34 - 12.06 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Cigar Lounge', 'Golf Course', 'School', 'Card Room', 'Restaurant']"
Krisumi Waterfall Residences,"1, 2, 3, 4 BHK Apartment, 1 RK Studio Apartment in Sector 36A, Gurgaon","{'dwarka expy': '6 km', 'delhi public school, sector 84': '3.1 km', 'elan miracle mall': '6 km', 'aarvy hospital': '8.8 km', 'holiday inn gurugram sector 90': '9.1 km', 'dpg degree college': '7.6 km', 'garhi harsaru junction': '11.7 km', 'tau devilal sports complex': '9.7 km', 'dlf corporate greens': '10.3 km', 'indira gandhi international airport': '25.3 km', 'nh 48': '3.1 km'}",https://www.99acres.com/krisumi-waterfall-residences-sector-36a-gurgaon-npxid-r331957,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '464.14 - 6,367.71 sq.ft.', 'price-range': 'Price on Request'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,448.41 - 1,479 sq.ft.', 'price-range': '₹ 1.9 - 9.06 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,946 - 4,429.5 sq.ft.', 'price-range': '₹ 2.45 - 27.12 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '4,429 - 6,353.03 sq.ft.', 'price-range': '₹ 10.53 - 38.9 Cr'}, '1 RK': {'building_type': 'Studio Apartment', 'area_type': 'Carpet Area', 'area': '460.09 - 588 sq.ft.', 'price-range': '₹ 1.41 - 3.6 Cr'}}","['Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Salon', 'Restaurant', 'Terrace Garden', 'Pergola', 'Jacuzzi', 'Piped Gas']"
M3M Capital,"2, 3, 4 BHK Apartment in Sector 113, Gurgaon","{'dwarka expy': '0.01 km', 'shivani public school': '1.8 km', 'baghera university': '2.7 km', 'kutumbh hospital': '1 km', 'bijwasan railway station': '4.5 km', 'global foyer mall': '4.2 km', 'phase 2 metro station': '11.5 km', 'igi airport': '16.5 km'}",https://www.99acres.com/m3m-capital-sector-113-gurgaon-npxid-r385121,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,300 - 1,330 sq.ft.', 'price-range': '₹ 1.3 - 1.56 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,650 - 1,700 sq.ft.', 'price-range': '₹ 1.65 - 2.06 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,055 - 2,249 sq.ft.', 'price-range': '₹ 3.29 - 3.69 Cr'}}","['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'ATM', 'Aerobics Centre', 'Restaurant', 'Sauna', 'Spa', 'Skating Rink']"
Godrej Meridien,"1, 2, 3, 4 BHK Apartment in Sector 106, Gurgaon","{'dwarka expressway': '1.8 km', 'euro international school, sector- 109': '2.1 km', 'gurgaon railway station': '1.6 km', 'gurgaon dreamz mall': '3.8 km', 'metro hospital, palam vihar': '4.8 km', 'delhi ajmer expressway': '9 km', 'infinity business park': '8.7 km', 'the northcap university': '7.1 km', 'huda metro station': '10.6 km'}",https://www.99acres.com/godrej-meridien-sector-106-gurgaon-npxid-r306651,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,510 sq.ft.', 'price-range': '₹ 1.98 - 2.38 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '817.3 - 1,732 sq.ft.', 'price-range': '₹ 1.29 - 3.6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,025.05 - 2,050 sq.ft.', 'price-range': '₹ 1.62 - 5.72 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,657.1 - 2,750 sq.ft.', 'price-range': '₹ 2.61 - 7.67 Cr'}}","['Valet Parking', 'Mini Theatre', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Flower Garden', 'Reflexology Park', 'School']"
La Vida by Tata Housing,"2, 3 BHK Apartment in Sector 113, Gurgaon","{'bajghera road': '0.55 km', ""rion's hospital"": '3.1 km', 'dwarka expy': '3.8 km', 'bijwasan railway station': '4.5 km', 'euro international school, sector- 109.': '6.1 km', 'the northcap university': '6.7 km', 'dwarka sector 21': '7.4 km', 'pacific d21 mall': '7.5 km', 'indira gandhi intl airport': '15.6 km'}",https://www.99acres.com/la-vida-by-tata-housing-sector-113-gurgaon-npxid-r265503,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,276 - 1,573 sq.ft.', 'price-range': '₹ 1.88 - 3.43 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,579 sq.ft.', 'price-range': '₹ 1.73 - 3.44 Cr'}}","['Mini Theatre', 'Natural Pond', 'Swimming Pool', 'Card Room', 'Sauna', 'Spa', 'Squash Court', 'Cricket Pitch', 'Sun Deck']"
