PropertyName,PropertySubName,LocationAdvantages,Link,PriceDetails,TopFacilities
Godrej Nature Plus,"2, 3 BHK Apartment in Sector-33 Sohna, Gurgaon","{'k. r. mangalam university': '1.1 km', 'badshahpur sohna rd hwy': '1.7 km', 'gurjar samrat jaipal khatana marg': '2.3 km', 'signature global infinity mall sohna': '2.3 km', 'vidya niketan sr sec school': '4.7 km', 'sanjivani hospital': '7 km', 'garhi harsaru junction': '30.5 km', 'indira gandhi intl airport': '35.6 km'}",https://www.99acres.com/godrej-nature-plus-sector-33-sohna-gurgaon-npxid-r297055,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '822.79 - 1,928 sq.ft.', 'price-range': '₹ 1.1 - 2.58 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '925.7 - 2,000 sq.ft.', 'price-range': '₹ 1.25 - 2.7 Cr'}}","['Natural Pond', 'Swimming Pool', 'Skating Rink', 'Gazebo', 'Cafeteria', 'Billiards', 'Fountain', 'Shopping Centre', 'Cricket Pitch']"
Bestech Park View Grand Spa,"3, 4, 5 BHK Apartment in Sector 81, Gurgaon","{""st. xavier's high school"": '0.65 km', 'spectra hospital': '0.75 km', 'sapphire 83 mall': '2.5 km', 'hyatt regency gurgaon': '4.9 km', 'nh-8, imt manesar': '5.4 km', 'dwarka expressway': '5.6 km', 'imt manesar': '8.1 km', 'national tennis academy': '9.7 km', 'skyjumper trampoline park': '13.5 km', 'indira gandhi international airport': '30 km'}",https://www.99acres.com/bestech-park-view-grand-spa-sector-81-gurgaon-npxid-r2086,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,660 sq.ft.', 'price-range': '₹ 2.5 - 3 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,185 - 7,054 sq.ft.', 'price-range': '₹ 3.1 - 6.87 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '5,840 sq.ft.', 'price-range': '₹ 5.5 - 7 Cr'}}","['Automated Car Wash', 'Acupressure Park', 'Swimming Pool', 'Golf Course', 'Salon', 'Card Room', 'Restaurant', 'High Speed Elevators', 'Waiting Lounge']"
Shree Vardhman Victoria,"2, 3 BHK Apartment in Sector 70, Gurgaon","{'golf course extn road': '0.2 km', 'sohna road': '0.5 km', 'tulip violet society, sector 69': '1.8 km', 'spaze palazo, golf course ext rd': '3.3 km', 'federal bank sector 71': '3.4 km', 'kunskapsskolan international': '3.4 km', 'southern peripheral rd, gurugram': '3.5 km', 'ektaa hospitals  main sohna rd': '4 km', 'central bank of india sohna rd': '4.2 km', 'sanjeevani hospital - child specialist': '4.2 km', 'vatika business park sohna rd': '4.2 km', 'indianoil, hasanpur': '4.5 km', 'the medicity, spaze itech park': '5 km', 'axis bank, sohna rd': '5.6 km', 'airia mall': '5.9 km'}",https://www.99acres.com/shree-vardhman-victoria-sector-70-gurgaon-npxid-r28294,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,300 - 1,350 sq.ft.', 'price-range': '₹ 1.03 - 1.09 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,950 sq.ft.', 'price-range': '₹ 1.55 - 1.6 Cr'}}","['Bus Shelter', 'Swimming Pool', 'School', 'Card Room', 'Pergola', 'High Speed Elevators', 'Sauna', 'Steam Room', 'Water Softener Plant']"
Silverglades The Melia,"2, 3, 4 BHK Apartment in Sohna, Gurgaon","{'sohna road': '0.75 km', 'shambhu dayal high school': '1 km', 'global city centre mall': '2.4 km', 'gd goenka university': '2.6 km', 'vardaan hospital and trauma centre': '4.7 km', 'sohna bus stand': '4.7 km', 'ascendas onehub gurgaon': '5.8 km', 'western peripheral expressway': '12.9 km'}",https://www.99acres.com/silverglades-the-melia-sohna-gurgaon-npxid-r26828,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,350 sq.ft.', 'price-range': 'Price on Request'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,750 sq.ft.', 'price-range': 'Price on Request'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,400 sq.ft.', 'price-range': 'Price on Request'}}","['Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Laundry', 'Reading Lounge', 'Golf Course', 'Conference room', 'Card Room', 'Restaurant']"
Shree Vardhman Flora,"2, 3, 4 BHK Apartment in Sector 90, Gurgaon","{'holiday inn gurugram sector 90': '1.9 km', 'iris broadway mall': '2.2 km', 'aarvy healthcare hospital': '2.3 km', 'flying wings badminton academy': '2.9 km', 'saraswati model school': '3.3 km', 'garhi harsaru junction': '4.4 km', 'dwarka expressway': '6.8 km', 'sgt university': '11.3 km', 'orchid business park': '16.7 km', 'indira gandhi international airport': '30.5 km'}",https://www.99acres.com/shree-vardhman-flora-sector-90-gurgaon-npxid-r28296,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,300 sq.ft.', 'price-range': 'Price on Request'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,875 sq.ft.', 'price-range': 'Price on Request'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,475 sq.ft.', 'price-range': 'Price on Request'}}","['Swimming Pool', 'School', 'Sauna', 'Steam Room', 'Billiards', 'Fountain', 'Shopping Centre', 'Lawn Tennis Court', 'Earthquake Resistant']"
Vatika Seven Elements,"2, 3, 4 BHK Apartment in Sector 89 A, Gurgaon","{'pataudi road': '0.4 km', 'dwarka expy': '3.3 km', 'newtown square mall': '3.5 km', 'euro international school': '7.5 km', 'shri balaji’s multispeciality hospital': '8 km', 'sgt university': '9.6 km', 'farrukh nagar railway station': '15.7 km', 'indira gandhi intl airport': '30 km'}",https://www.99acres.com/vatika-seven-elements-sector-89-a-gurgaon-npxid-r7746,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,605 - 1,650 sq.ft.', 'price-range': '₹ 1.15 - 1.18 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,920 - 3,155 sq.ft.', 'price-range': '₹ 1.38 - 2.26 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,465 - 3,695 sq.ft.', 'price-range': '₹ 1.77 - 2.65 Cr'}}","['Valet Parking', 'Food Court', 'Swimming Pool', 'Business Lounge', 'School', 'Restaurant', 'Pergola', 'Grocery Shop', 'Squash Court']"
Bellavista Central Park Resorts,"1 BHK Service Apartment, 1 RK Studio Apartment in Sector 48, Gurgaon","{'candor techspace, sector 48': '0.5 km', 'badshahpur sohna rd hwy': '2.5 km', 'omaxe celebration mall': '3 km', 'pataudi road': '5 km', 'gd goenka public school': '2.1 km', 'huda metro station': '7.3 km', 'sushant university': '10.6 km', 'indira gandhi international airport': '20.3 km', 'medanta - the medicity': '4.5 km', 'tau devilal sports complex': '4.8 km', 'doubletree by hilton hotel gurgaon': '10.6 km', 'de adventure park': '9 km'}",https://www.99acres.com/bellavista-central-park-resorts-sector-48-gurgaon-npxid-r343397,"{'1 RK': {'building_type': 'Studio Apartment', 'area_type': 'Carpet Area', 'area': '438.63 - 1,607 sq.ft.', 'price-range': 'Price on Request'}, '1 BHK': {'building_type': 'Service Apartment', 'area_type': 'Carpet Area', 'area': '569.95 - 639.59 sq.ft.', 'price-range': 'Price on Request'}}","['Mini Theatre', 'Infinity Pool', 'Lounge', 'Restaurant', 'High Speed Elevators', 'Sauna', 'Jacuzzi', 'Spa', 'Water Softener Plant']"
M3M Heights,"2, 3 BHK Apartment in Sector 65, Gurgaon","{'m3m 65th avenue mall': '0.25 km', 'dps international school': '0.85 km', 'golf course extension road': '1.4 km', 'park hospital': '3.5 km', 'lemon tree hotel': '4.4 km', 'rapid metro sector 56': '5 km', 'skyjumper trampoline park': '5.1 km', 'pvr drive in theatre': '5.7 km', 'dpg institute of technology': '7.9 km', 'indira gandhi international airport': '22.8 km', 'gurgaon - delhi expy': '3.7 km'}",https://www.99acres.com/m3m-heights-sector-65-gurgaon-npxid-r272921,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,250 - 1,450 sq.ft.', 'price-range': '₹ 2 - 2.32 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,828 - 2,004 sq.ft.', 'price-range': '₹ 2.92 - 3.21 Cr'}}","['Bus Shelter', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Reflexology Park', 'Aerobics Centre', 'Restaurant', 'Terrace Garden', 'High Speed Elevators']"
Godrej Habitat,"2, 3, 4 BHK Apartment in Sector 3, Gurgaon","{'sneh hospital': '0.15 km', 'gems international school': '2.5 km', 'country inn & suites by radisson': '4.1 km', 'dwarka expressway': '5.8 km', 'huda mini golf course': '5.8 km', 'national highway 8': '6.2 km', 'star mall': '6.7 km', 'appu ghar water park': '8.2 km', 'huda city centre metro station': '8.2 km', 'icfai university': '9.8 km', 'indira gandhi international airport': '20.4 km'}",https://www.99acres.com/godrej-habitat-sector-3-gurgaon-npxid-r326543,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '912.56 - 1,444 sq.ft.', 'price-range': '₹ 1.18 - 1.87 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,255.29 - 2,078 sq.ft.', 'price-range': '₹ 2.02 - 3.34 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,571.85 - 2,650 sq.ft.', 'price-range': '₹ 2.34 - 3.95 Cr'}}","['Mini Theatre', 'Foosball', 'Swimming Pool', 'Flower Garden', 'Salon', 'ATM', 'Card Room', 'Piped Gas', 'Grocery Shop']"
Adani Brahma Samsara,"3, 4 BHK Independent Floor in Sector 60, Gurgaon","{'lemon tree hotel': '1 km', 'paras trinity mall': '1 km', 'tennis vidyalaya (tennis academy)': '1.1 km', 'pvr drive in theatre': '1.5 km', 'indira gandhi eye hospital': '1.6 km', 'heritage xperiential learning school': '1.7 km', 'sector 55-56 rapid metro': '3.2 km', 'golf course extension road': '4.4 km', 'sushant university': '5.5 km', 'zooper india trampoline park': '6.6 km', 'teri golf course': '8.9 km', 'indira gandhi international airport': '21 km'}",https://www.99acres.com/adani-brahma-samsara-sector-60-gurgaon-npxid-r271215,"{'3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,116 sq.ft.', 'price-range': '₹ 1.7 Cr'}, '4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,474.66 sq.ft.', 'price-range': '₹ 2.22 Cr'}}","['Swimming Pool', 'School', 'Restaurant', 'Spa', 'Skating Rink', 'Theatre', 'Pool Table', 'Billiards', 'Shopping Centre']"
