society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
ansal sushant lok ci,2.0,15151.0,3.0,3.0,2,servant room,1.0,North,Old Property,sector 43,1320.045,flat,,,1320.0,0,1,0,0,0,1,15,440.0
ashiana mulberry,0.74,6200.0,2.0,2.0,3+,not avilable,12.0,North-West,New Property,sohna road,1193.548,flat,,,1210.0,0,0,0,0,0,2,67,597.0
godrej meridien,3.2,16000.0,3.0,3.0,3+,servant room,6.0,,Undefined,sector 106,2000.0,flat,,,2002.0,0,1,0,0,0,2,49,667.0
mapsko casa bella,1.3,6378.0,4.0,4.0,3+,servant room,1.0,North,Relatively New,sector 82,2038.257,flat,1960.0,,,0,1,0,0,0,2,130,510.0
pooja apartment,0.25,3571.0,2.0,2.0,2,not avilable,2.0,East,Relatively New,sector 3 extension,700.084,flat,,,700.0,0,0,0,0,0,2,0,350.0
signature global park,0.95,7846.0,3.0,2.0,3+,not avilable,1.0,,Relatively New,sohna road,1210.808,flat,,,756.5945310000001,0,0,0,0,0,2,46,404.0
dlf new town heights,1.99,7297.0,4.0,4.0,3+,"pooja room,servant room",9.0,East,Relatively New,sector 90,2727.148,flat,,,2727.0,0,1,0,1,0,0,102,682.0
paras dews,1.05,7581.0,2.0,2.0,2,not avilable,5.0,West,New Property,sector 106,1385.042,flat,,,1385.0,0,0,0,0,0,2,97,693.0
godrej air,1.83,10005.0,3.0,3.0,3+,not avilable,18.0,,Undefined,sector 85,1829.085,flat,,,1829.0,0,0,0,0,0,2,110,610.0
dlf the primus,2.25,10714.0,3.0,3.0,3+,servant room,29.0,East,Relatively New,sector 82a,2100.056,flat,,,2100.0,0,1,0,0,0,1,72,700.0
emaar mgf emerald floors premier,2.8,16969.0,3.0,3.0,3+,"study room,servant room",3.0,,Relatively New,sector 65,1650.068,flat,,,1650.0,1,1,0,0,0,0,38,550.0
dlf regency park,1.6,14545.0,2.0,2.0,2,not avilable,3.0,North,Relatively New,sector 28,1100.034,flat,,,1100.0,0,0,0,0,0,2,52,550.0
supertech araville,0.83,5424.0,2.0,2.0,3,study room,5.0,North-East,New Property,sector 79,1530.236,flat,,,1530.0,1,0,0,0,0,1,49,765.0
signature global park,0.83,7410.0,3.0,2.0,2,not avilable,1.0,,New Property,sohna road,1120.108,flat,,,1120.0,0,0,0,0,0,2,16,373.0
maxworth city residences,0.8,6400.0,2.0,3.0,2,not avilable,9.0,,New Property,sector 10a,1250.0,flat,,,1250.0,0,0,0,0,0,2,46,625.0
deepak minda,1.25,4715.0,4.0,4.0,3+,not avilable,6.0,,Moderately Old,sector 1,2651.113,flat,,,2651.0,0,0,0,0,0,0,44,663.0
shree shyam residency,0.23,5000.0,1.0,1.0,1,not avilable,2.0,South,Relatively New,sector 21b,460.0,flat,,,460.0,0,0,0,0,0,2,9,460.0
pivotal devaan,0.3,6666.0,1.0,1.0,1,not avilable,14.0,,New Property,sector 84,450.045,flat,,,450.0,0,0,0,0,0,0,22,450.0
unitech the residences,1.55,9872.0,3.0,4.0,1,servant room,1.0,South,Relatively New,sector 33,1570.097,flat,1570.0,,,0,1,0,0,0,2,37,523.0
chd avenue,0.79,6594.0,2.0,2.0,2,others,8.0,South-East,Relatively New,sector 71,1198.059,flat,1198.0,,,0,0,0,0,1,2,0,599.0
"gokuldham society, bahadurgarh",0.5,5555.0,2.0,2.0,2,store room,2.0,,Moderately Old,sector 7,900.09,flat,900.0,,750.0,0,0,1,0,0,2,0,450.0
silverglades the melia,1.01,7000.0,2.0,2.0,3,study room,12.0,,Undefined,sohna road,1442.857,flat,1450.0,,950.0,1,0,0,0,0,2,80,721.0
sare crescent parc royal greens phase 1,0.95,5007.0,4.0,5.0,3+,servant room,4.0,,Moderately Old,sector 92,1897.344,flat,1897.0,,,0,1,0,0,0,2,37,474.0
umang winter hills,0.99,7857.0,2.0,2.0,2,not avilable,1.0,North,Relatively New,sector 77,1260.023,flat,1260.0,,1000.0,0,0,0,0,0,2,97,630.0
ramprastha skyz,1.1,6376.0,3.0,3.0,3+,not avilable,7.0,East,Undefined,sector 37d,1725.22,flat,1725.0,,,0,0,0,0,0,2,109,575.0
4s aradhya homes,1.9,8863.0,4.0,4.0,3,not avilable,3.0,,New Property,sector 67a,2143.744,flat,2200.0,,,0,0,0,0,0,0,62,536.0
ild greens,1.0,4320.0,3.0,3.0,3+,not avilable,5.0,North,Under Construction,sector 37c,2314.815,flat,1875.0,,,0,0,0,0,0,2,51,772.0
bptp freedom park life,2.5,11111.0,3.0,3.0,3,not avilable,9.0,,Moderately Old,sector 57,2250.023,flat,2250.0,,,0,0,0,0,0,2,55,750.0
godrej habitat,1.1,10410.0,2.0,2.0,2,not avilable,14.0,,Under Construction,sector 3,1056.676,flat,1056.584424,,,0,0,0,0,0,2,60,528.0
ramsons kshitij,0.29,5178.0,2.0,2.0,2,not avilable,14.0,,Relatively New,sector 95,560.062,flat,560.0,,,0,0,0,0,0,2,50,280.0
sidhartha ncr one,0.55,5556.0,2.0,2.0,3,not avilable,15.0,North-East,Undefined,sector 95,989.921,flat,,,950.0,0,0,0,0,0,2,0,495.0
raheja sampada,0.65,4744.0,3.0,2.0,3,not avilable,6.0,North-East,Relatively New,sector 92,1370.152,flat,1370.0,,,0,0,0,0,0,2,49,457.0
signature the serenas,0.5,9406.0,2.0,2.0,2,not avilable,6.0,,New Property,sohna road,531.576,flat,,,531.521382,0,0,0,0,0,2,37,266.0
pareena laxmi apartments,0.32,5521.0,2.0,2.0,1,not avilable,2.0,,New Property,sector 99a,579.605,flat,575.0,,570.163783,0,0,0,0,0,2,43,290.0
satya the hermitage,0.93,6404.0,2.0,3.0,3,servant room,3.0,East,Relatively New,sector 103,1452.217,flat,,,1452.0,0,1,0,0,0,0,90,726.0
smart world gems,1.2,8432.0,3.0,3.0,2,not avilable,2.0,North-East,New Property,sector 89,1423.15,flat,,,1423.0,0,0,0,0,0,2,44,474.0
gls arawali homes,0.3,4687.0,2.0,2.0,2,not avilable,4.0,,Relatively New,sohna road,640.068,flat,,,640.0,0,0,0,0,0,2,42,320.0
signature global park,0.56,6812.0,2.0,2.0,3,not avilable,3.0,South,New Property,sohna road,822.079,flat,,,822.0,0,0,0,0,0,2,111,411.0
bestech park view city,2.7,12505.0,3.0,4.0,3+,not avilable,6.0,,Moderately Old,sector 49,2159.136,flat,2159.0,,,0,0,0,0,0,2,0,720.0
shree vardhman flora,1.0,5128.0,3.0,4.0,3,servant room,8.0,North-East,New Property,sector 90,1950.078,flat,1950.0,,,0,1,0,0,0,2,95,650.0
afnhb jalvayu vihar,1.45,11153.0,3.0,2.0,2,not avilable,2.0,North,Old Property,sector 30,1300.099,flat,,,1090.0,0,0,0,0,0,1,75,433.0
m3m soulitude,1.25,8784.0,3.0,3.0,0,not avilable,4.0,,Undefined,sector 89,1423.042,flat,,,1190.0,0,0,0,0,0,2,61,474.0
emaar mgf palm terraces,4.5,10599.0,5.0,5.0,3+,servant room,11.0,,New Property,sector 66,4245.684,flat,3670.0,,,0,1,0,0,0,2,105,849.0
