society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
bptp astaire gardens,1.8,9350.0,3.0,3.0,3,study room,3.0,North-West,Relatively New,sector 70a,1925.134,flat,,,,1,0,0,0,0,2,135,642.0
m3m woodshire,1.65,5960.0,4.0,5.0,3+,servant room,12.0,North-West,Relatively New,sector 107,2768.456,flat,2768.0,,,0,1,0,0,0,2,21,692.0
unitech uniworld city,3.55,14991.0,3.0,5.0,3+,servant room,16.0,North,Old Property,sector 30,2368.088,flat,2368.0,,2000.0,0,1,0,0,0,0,141,789.0
dlf the icon,6.0,26086.0,4.0,4.0,3+,servant room,18.0,North-East,Old Property,sector 43,2300.084,flat,,,2300.0,0,1,0,0,0,0,150,575.0
bestech park view city,1.8,10250.0,3.0,4.0,3,study room,3.0,North-West,Moderately Old,sector 48,1756.098,flat,,,1756.0,1,0,0,0,0,0,76,585.0
aipl the peaceful homes,2.5,10638.0,3.0,4.0,3,"servant room,store room",8.0,South,Relatively New,sector 70a,2350.066,flat,2350.0,,,0,1,1,0,0,0,174,783.0
hector trimurti heights,1.5,6382.0,4.0,3.0,3,servant room,10.0,South-East,Old Property,sector 39,2350.36,flat,,,2350.0,0,1,0,0,0,1,49,588.0
vatika lifestyle homes,1.04,5699.0,3.0,2.0,2,not avilable,2.0,South-West,Moderately Old,sector 83,1824.882,flat,1755.0,,1100.0,0,0,0,0,0,2,95,608.0
pyramid urban,0.53,8967.0,2.0,2.0,1,others,6.0,West,Relatively New,sector 67a,591.056,flat,,,591.0,0,0,0,0,1,0,49,296.0
shree vardhman victoria,1.64,8410.0,3.0,5.0,3,servant room,8.0,North-East,Relatively New,sector 70,1950.059,flat,1950.0,,1161.0,0,1,0,0,0,2,126,650.0
emaar mgf emerald floors premier,2.9,14683.0,4.0,4.0,3+,"study room,servant room",4.0,North-East,Relatively New,sector 65,1975.073,flat,1975.0,,,1,1,0,0,0,0,152,494.0
emaar mgf emerald floors premier,2.36,14303.0,3.0,3.0,3,"study room,servant room",0.0,North-East,Relatively New,sector 65,1650.003,flat,1650.0,,,1,1,0,0,0,0,159,550.0
dlf park place,4.85,30180.0,3.0,4.0,3+,servant room,6.0,North,Moderately Old,sector 54,1607.025,flat,1983.0,,1607.0,0,1,0,0,0,1,158,536.0
vatika gurgaon,1.25,6313.0,3.0,3.0,2,servant room,2.0,West,Relatively New,sector 83,1980.041,flat,1980.0,,,0,1,0,0,0,2,119,660.0
shree vardhman flora,0.92,4717.0,3.0,3.0,2,study room,6.0,North,Relatively New,sector 90,1950.392,flat,,,1950.0,1,0,0,0,0,0,49,650.0
dlf the ultima,2.7,12802.0,3.0,3.0,3,servant room,15.0,North,Relatively New,sector 81,2109.045,flat,,,2109.0,0,1,0,0,0,0,49,703.0
shree vardhman flora,0.7,5177.0,2.0,3.0,2,study room,7.0,North,Relatively New,sector 90,1352.134,flat,,,1352.0,1,0,0,0,0,0,49,676.0
ss the leaf,1.25,7179.0,2.0,2.0,2,not avilable,16.0,North,Relatively New,sector 85,1741.19,flat,,,1741.0,0,0,0,0,0,0,49,871.0
ss the leaf,2.3,8179.0,4.0,4.0,3+,servant room,8.0,South,Relatively New,sector 85,2812.08,flat,2812.0,,,0,1,0,0,0,2,21,703.0
ss the leaf,2.0,8305.0,3.0,4.0,3,servant room,8.0,East,Relatively New,sector 85,2408.188,flat,2408.0,,,0,1,0,0,0,2,21,803.0
vatika gurgaon,1.08,6224.0,3.0,3.0,2,others,11.0,North-East,Relatively New,sector 83,1735.219,flat,1735.0,,,0,0,0,0,1,2,19,578.0
emaar mgf emerald estate,1.73,12401.0,3.0,3.0,3,servant room,9.0,North-West,Relatively New,sector 65,1395.049,flat,1395.0,,,0,1,0,0,0,1,159,465.0
emaar mgf emerald estate,1.3,20602.0,2.0,2.0,2,study room,7.0,West,Relatively New,sector 65,631.007,flat,1020.0,,631.0,1,0,0,0,0,2,78,316.0
emaar mgf emerald floors premier,2.85,14430.0,4.0,4.0,3+,"study room,servant room",0.0,West,Relatively New,sector 65,1975.052,flat,1975.0,,,1,1,0,0,0,0,151,494.0
emaar mgf emerald floors premier,2.25,13636.0,3.0,3.0,3+,"study room,servant room",3.0,South,Relatively New,sector 65,1650.044,flat,1650.0,,,1,1,0,0,0,2,152,550.0
emaar mgf emerald floors premier,2.35,14242.0,3.0,3.0,3,"study room,servant room",2.0,West,Relatively New,sector 65,1650.049,flat,1650.0,,,1,1,0,0,0,0,168,550.0
emaar mgf emerald floors premier,2.8,16969.0,4.0,4.0,3,study room,2.0,North,Relatively New,sector 65,1650.068,flat,1975.0,,1650.0,1,0,0,0,0,0,89,413.0
emaar mgf emerald floors premier,2.35,16206.0,3.0,3.0,3,"study room,servant room",2.0,South-East,Relatively New,sector 65,1450.08,flat,1650.0,,1450.0,1,1,0,0,0,0,64,483.0
emaar mgf emerald floors premier,2.75,13924.0,4.0,4.0,3,"servant room,study room",3.0,North-West,Relatively New,sector 65,1975.007,flat,1975.0,,1650.0,1,1,0,0,0,0,113,494.0
emaar mgf emerald floors premier,2.36,14303.0,3.0,3.0,3,"study room,servant room",2.0,North-East,Relatively New,sector 65,1650.003,flat,1650.0,,1400.0,1,1,0,0,0,0,136,550.0
emaar mgf palm terraces select,3.4,14107.0,4.0,4.0,3+,servant room,2.0,North-East,Relatively New,sector 66,2410.151,flat,2410.0,,2040.0,0,1,0,0,0,0,157,603.0
umang winter hills,0.8,5961.0,2.0,2.0,2,not avilable,10.0,North,Relatively New,sector 77,1342.057,flat,1342.0,,1000.0,0,0,0,0,0,0,49,671.0
.,7.0,11000.0,4.0,4.0,3+,servant room,6.0,South-West,Relatively New,sector 2,6363.636,flat,6000.0,,,0,1,0,0,0,2,52,1591.0
unitech fresco,1.8,9589.0,3.0,4.0,3+,servant room,6.0,North-East,Moderately Old,sector 50,1877.151,flat,1877.0,,1600.0,0,1,0,0,0,0,174,626.0
the close north,2.65,10685.0,3.0,4.0,3+,servant room,6.0,North,Moderately Old,sector 50,2480.112,flat,2480.0,,2000.0,0,1,0,0,0,0,174,827.0
vatika gurgaon,1.05,7000.0,3.0,3.0,3,store room,3.0,South-West,Relatively New,sector 83,1500.0,flat,1735.0,,1500.0,0,0,1,0,0,2,79,500.0
unitech fresco,1.88,10479.0,3.0,3.0,3+,others,14.0,North,Moderately Old,sector 50,1794.064,flat,1794.0,,1450.0,0,0,0,0,1,0,174,598.0
alpha corp gurgaonone,1.15,7496.0,2.0,2.0,3,study room,8.0,North-East,Relatively New,sector 84,1534.152,flat,1534.0,,1200.0,1,0,0,0,0,0,37,767.0
vatika gurgaon,1.33,5564.0,4.0,4.0,3,servant room,3.0,East,Relatively New,sector 83,2390.367,flat,2390.0,,2000.0,0,1,0,0,0,2,26,598.0
unitech harmony,2.6,9590.0,3.0,4.0,2,"servant room,others",15.0,North-East,Relatively New,sector 50,2711.157,flat,2711.0,,2200.0,0,1,0,0,1,0,174,904.0
the close north,2.97,11401.0,3.0,3.0,3+,servant room,8.0,North,Moderately Old,sector 50,2605.035,flat,2605.0,,2100.0,0,1,0,0,0,0,174,868.0
tulip violet,1.8,8955.0,4.0,4.0,2,pooja room,9.0,South-West,Relatively New,sector 69,2010.05,flat,2010.0,,,0,0,0,1,0,0,165,503.0
tulip violet,1.78,8855.0,4.0,4.0,2,pooja room,10.0,North-East,Relatively New,sector 69,2010.164,flat,2010.0,,,0,0,0,1,0,0,156,503.0
tulip violet,1.52,9632.0,3.0,3.0,2,pooja room,4.0,South-West,Relatively New,sector 69,1578.073,flat,1578.0,,,0,0,0,1,0,0,156,526.0
tulip violet,1.55,9822.0,3.0,3.0,2,pooja room,9.0,North-East,Relatively New,sector 69,1578.09,flat,1578.0,,,0,0,0,1,0,0,165,526.0
dlf the skycourt,1.55,8031.0,3.0,3.0,1,pooja room,12.0,North-East,Relatively New,sector 86,1930.021,flat,1930.0,,1350.0,0,0,0,1,0,0,153,643.0
sapphire eighty three,0.4,8547.0,1.0,1.0,1,not avilable,6.0,North-East,Relatively New,sector 83,468.0,flat,,,468.0,0,0,0,0,0,1,52,468.0
aipl the peaceful homes,2.4,11162.0,3.0,3.0,3,servant room,11.0,South-West,Relatively New,sector 70a,2150.152,flat,2150.0,,,0,1,0,0,0,2,108,717.0
vatika the seven lamps,1.37,8753.0,3.0,3.0,3,"study room,servant room,pooja room",11.0,South,Relatively New,sector 82,1565.178,flat,2160.0,,1565.0,1,1,0,1,0,0,145,522.0
vatika city,2.65,11770.0,3.0,4.0,3,"servant room,pooja room",11.0,East,Moderately Old,sector 49,2251.487,flat,2251.377324,,,0,1,0,1,0,0,140,750.0
godrej summit,1.16,6387.0,3.0,4.0,3+,servant room,8.0,East,Relatively New,sector 104,1816.189,flat,,,1816.0,0,1,0,0,0,0,96,605.0
godrej summit,1.05,5833.0,3.0,4.0,3+,servant room,7.0,East,Relatively New,sector 104,1800.103,flat,,,1800.0,0,1,0,0,0,0,96,600.0
godrej summit,1.35,5000.0,4.0,5.0,3+,"study room,servant room,store room,pooja room",0.0,North-East,Relatively New,sector 104,2700.0,flat,,,2700.0,1,1,1,1,0,2,112,675.0
godrej summit,1.35,5014.0,4.0,5.0,3+,"study room,servant room,pooja room,store room",0.0,South-East,Relatively New,sector 104,2692.461,flat,,,2692.0,1,1,1,1,0,2,88,673.0
emaar mgf the palm drive,2.85,14615.0,3.0,3.0,3,study room,11.0,North-East,Relatively New,sector 66,1950.051,flat,1950.0,,1550.0,1,0,0,0,0,0,67,650.0
pivotal devaan,0.35,6003.0,2.0,2.0,1,not avilable,4.0,East,Relatively New,sector 84,583.042,flat,583.0,,,0,0,0,0,0,2,37,292.0
m3m woodshire,0.88,6442.0,2.0,2.0,3+,not avilable,3.0,East,Relatively New,sector 107,1366.035,flat,1366.0,,,0,0,0,0,0,2,99,683.0
adani m2k oyster grande,2.4,9305.0,3.0,4.0,3+,study room,3.0,North-East,Relatively New,sector 102,2579.258,flat,2579.0,,2100.0,1,0,0,0,0,0,49,860.0
ireo skyon,3.6,12815.0,4.0,5.0,3,servant room,24.0,North-East,Relatively New,sector 60,2809.208,flat,2809.0,,2400.0,0,1,0,0,0,0,49,702.0
paras quartier,7.5,14018.0,4.0,4.0,3+,"pooja room,servant room,others",20.0,North-East,New Property,sector 2,5350.264,flat,5350.0,,,0,1,0,1,1,0,49,1338.0
la vida by tata housing,1.45,11363.0,2.0,2.0,2,not avilable,6.0,South,Relatively New,sector 113,1276.071,flat,1276.0,,904.059961,0,0,0,0,0,2,80,638.0
the close north,2.35,11767.0,3.0,3.0,3+,not avilable,8.0,North-East,Moderately Old,sector 50,1997.111,flat,1997.0,,1850.0,0,0,0,0,0,0,165,666.0
vatika the seven lamps,0.94,6567.0,2.0,2.0,2,study room,12.0,East,Relatively New,sector 82,1431.399,flat,1435.0,,,1,0,0,0,0,0,103,716.0
vatika the seven lamps,0.81,6192.0,2.0,2.0,2,not avilable,15.0,West,Relatively New,sector 82,1308.14,flat,1300.0,,,0,0,0,0,0,0,117,654.0
the close south,3.1,12444.0,3.0,4.0,3+,servant room,4.0,North-East,Moderately Old,sector 50,2491.16,flat,2491.0,,2250.0,0,1,0,0,0,0,165,830.0
vatika the seven lamps,1.39,6412.0,3.0,3.0,3+,"study room,servant room",11.0,East,Relatively New,sector 82,2167.81,flat,2160.0,,,1,1,0,0,0,0,117,723.0
vatika the seven lamps,0.94,6533.0,2.0,2.0,3+,study room,9.0,North,Relatively New,sector 82,1438.849,flat,1435.0,,,1,0,0,0,0,0,117,719.0
vatika the seven lamps,0.78,5932.0,2.0,2.0,2,not avilable,0.0,North-West,Relatively New,sector 82,1314.902,flat,1298.0,,,0,0,0,0,0,0,103,657.0
vatika the seven lamps,0.85,5979.0,2.0,2.0,2,study room,9.0,North-East,Relatively New,sector 82,1421.642,flat,1430.0,,,1,0,0,0,0,2,117,711.0
orris aster court,0.69,5221.0,2.0,2.0,2,not avilable,5.0,South-West,Relatively New,sector 85,1321.586,flat,1312.0,,975.0,0,0,0,0,0,2,37,661.0
godrej,2.03,9046.0,3.0,4.0,3+,servant room,7.0,South-East,Relatively New,sector 79,2244.086,flat,2244.0,,,0,1,0,0,0,2,118,748.0
orris carnation residency,0.8,4857.0,3.0,4.0,3,servant room,4.0,West,Relatively New,sector 85,1647.107,flat,1645.0,,1275.0,0,1,0,0,0,0,40,549.0
shree vardhman flora,0.65,6789.0,2.0,2.0,3,study room,9.0,South-East,Relatively New,sector 90,957.431,flat,1350.0,,950.0,1,0,0,0,0,2,67,479.0
ss the coralwood,1.01,5771.0,3.0,3.0,2,not avilable,18.0,North-West,Relatively New,sector 84,1750.13,flat,1750.0,,1350.0,0,0,0,0,0,2,40,583.0
shree vardhman flora,1.27,4951.0,4.0,5.0,2,"study room,servant room",9.0,North-East,New Property,sector 90,2565.138,flat,2575.0,,1950.0,1,1,0,0,0,2,83,641.0
vatika gurgaon,0.84,6746.0,2.0,2.0,2,not avilable,7.0,East,Moderately Old,sector 83,1245.182,flat,1245.0,,,0,0,0,0,0,0,157,623.0
ss the leaf,1.77,7350.0,3.0,4.0,3,servant room,6.0,South-East,Moderately Old,sector 85,2408.163,flat,2408.0,,1300.0,0,1,0,0,0,0,135,803.0
tulip violet,1.68,8348.0,4.0,4.0,2,pooja room,1.0,South-West,Relatively New,sector 69,2012.458,flat,2010.0,,,0,0,0,1,0,2,102,503.0
tulip violet,1.66,8408.0,4.0,4.0,1,pooja room,12.0,South-East,Relatively New,sector 69,1974.31,flat,1970.0,,,0,0,0,1,0,2,102,494.0
tulip violet,1.4,8861.0,3.0,3.0,2,pooja room,2.0,North-East,Relatively New,sector 69,1579.957,flat,1578.0,,,0,0,0,1,0,2,102,527.0
dlf the ultima,2.29,10928.0,3.0,4.0,3+,servant room,15.0,West,Relatively New,sector 81,2095.534,flat,2100.0,,,0,1,0,0,0,1,103,699.0
dlf new town heights,1.21,6243.0,3.0,3.0,3+,"pooja room,servant room",7.0,West,Relatively New,sector 90,1938.171,flat,1930.0,,1928.0,0,1,0,1,0,2,127,646.0
sare homes,0.5,4237.0,3.0,3.0,2,not avilable,1.0,North,Relatively New,sector 92,1180.08,flat,1180.0,,,0,0,0,0,0,2,26,393.0
umang winter hills,0.71,5305.0,2.0,2.0,2,study room,6.0,North-West,Relatively New,sector 77,1338.36,flat,1342.0,,810.0,1,0,0,0,0,2,108,669.0
emaar mgf emerald floors premier,3.0,15189.0,4.0,4.0,3+,servant room,2.0,South-East,Relatively New,sector 65,1975.114,flat,1975.0,,,0,1,0,0,0,2,87,494.0
dlf regal gardens,1.2,6837.0,3.0,3.0,3+,not avilable,15.0,South-West,Relatively New,sector 90,1755.156,flat,1755.0,,1400.0,0,0,0,0,0,2,118,585.0
tata primanti,3.25,10545.0,3.0,3.0,3,servant room,2.0,South,Moderately Old,sector 72,3082.029,flat,3300.0,,,0,1,0,0,0,2,94,1027.0
ashiana mulberry,0.9,6143.0,2.0,2.0,3+,study room,7.0,North-East,Moderately Old,sohna road,1465.082,flat,1465.0,,1000.0,1,0,0,0,0,0,156,733.0
ashiana mulberry,1.07,6184.0,3.0,3.0,3+,not avilable,7.0,North-East,Relatively New,sohna road,1730.272,flat,1730.0,,1300.0,0,0,0,0,0,2,167,577.0
ss the leaf,1.2,7317.0,2.0,2.0,3,not avilable,12.0,South,Relatively New,sector 85,1640.016,flat,1640.0,,,0,0,0,0,0,0,157,820.0
ss the leaf,2.15,7645.0,4.0,5.0,3+,servant room,1.0,South,Relatively New,sector 85,2812.296,flat,2812.0,,,0,1,0,0,0,2,165,703.0
tulip violet,1.72,8730.0,4.0,4.0,1,not avilable,12.0,North-East,Relatively New,sector 69,1970.218,flat,1970.0,,,0,0,0,0,0,2,86,493.0
tulip violet,1.36,8841.0,3.0,3.0,1,pooja room,12.0,North-West,Relatively New,sector 69,1538.288,flat,1538.0,,,0,0,0,1,0,2,86,513.0
tulip violet,1.75,8883.0,4.0,4.0,1,not avilable,12.0,North-West,Relatively New,sector 69,1970.055,flat,1970.0,,,0,0,0,0,0,2,86,493.0
tulip violet,1.75,8882.0,4.0,4.0,1,not avilable,12.0,North-West,Relatively New,sector 69,1970.277,flat,1970.0,,,0,0,0,0,0,2,86,493.0
tulip violet,1.38,8966.0,3.0,3.0,1,pooja room,12.0,West,Relatively New,sector 69,1539.148,flat,1538.0,,,0,0,0,1,0,2,86,513.0
tulip violet,1.29,8227.0,3.0,3.0,1,pooja room,12.0,North-East,Relatively New,sector 69,1568.008,flat,1568.0,,,0,0,0,1,0,0,86,523.0
tulip violet,1.37,8675.0,3.0,3.0,1,pooja room,12.0,East,Relatively New,sector 69,1579.251,flat,1578.0,,1538.0,0,0,0,1,0,2,95,526.0
tulip violet,1.32,8411.0,3.0,3.0,1,pooja room,12.0,South-West,Relatively New,sector 69,1569.373,flat,1568.0,,,0,0,0,1,0,0,86,523.0
tulip violet,1.3,8445.0,3.0,3.0,1,pooja room,12.0,West,Relatively New,sector 69,1539.372,flat,1538.0,,,0,0,0,1,0,0,94,513.0
dlf new town heights,1.3,6735.0,3.0,3.0,3,servant room,12.0,North,Moderately Old,sector 86,1930.215,flat,1930.0,,,0,1,0,0,0,0,165,643.0
dlf the skycourt,1.5,7776.0,3.0,3.0,1,not avilable,15.0,South-East,Relatively New,sector 86,1929.012,flat,1929.0,,1330.0,0,0,0,0,0,2,159,643.0
tulip violet,1.68,8358.0,4.0,4.0,2,pooja room,2.0,North-West,Relatively New,sector 69,2010.05,flat,2010.0,,,0,0,0,1,0,2,112,503.0
tulip violet,1.4,8871.0,3.0,3.0,2,pooja room,11.0,North,Relatively New,sector 69,1578.176,flat,1578.0,,,0,0,0,1,0,2,126,526.0
dlf the skycourt,1.5,7894.0,3.0,3.0,1,others,16.0,East,Relatively New,sector 86,1900.177,flat,1900.0,,,0,0,0,0,1,2,49,633.0
signature global solera,0.5,7751.0,3.0,2.0,2,others,6.0,North-East,Relatively New,sector 107,645.078,flat,,,645.0,0,0,0,0,1,2,49,215.0
signature global solera,0.36,5980.0,2.0,2.0,1,others,7.0,North-West,Relatively New,sector 107,602.007,flat,602.0,,546.0,0,0,0,0,1,2,49,301.0
spaze privy,3.1,6692.0,4.0,5.0,3+,"servant room,pooja room,study room,store room",8.0,South,Moderately Old,sector 72,4632.397,flat,4632.0,,2300.0,1,1,1,1,0,2,136,1158.0
rof ananda,0.31,5644.0,2.0,2.0,1,pooja room,5.0,North,Relatively New,sector 95,549.256,flat,,,549.174178,0,0,0,1,0,0,74,275.0
sare homes,0.71,5354.0,3.0,3.0,3,pooja room,2.0,North-West,Relatively New,sector 92,1326.111,flat,,,1326.0,0,0,0,1,0,2,108,442.0
vatika lifestyle homes,1.15,8214.0,3.0,3.0,1,not avilable,7.0,South-West,Moderately Old,sector 83,1400.049,flat,1832.0,,1400.0,0,0,0,0,0,0,95,467.0
vatika lifestyle homes,1.05,7500.0,3.0,2.0,2,not avilable,1.0,South-West,Moderately Old,sector 83,1400.0,flat,1755.0,,1400.0,0,0,0,0,0,0,106,467.0
pioneer park,2.1,11666.0,3.0,3.0,3,not avilable,15.0,South-East,Relatively New,sector 61,1800.103,flat,1800.0,,1400.0,0,0,0,0,0,0,49,600.0
signature global solera,0.29,5828.0,2.0,2.0,2,not avilable,0.0,North-East,Relatively New,sector 107,497.598,flat,,,489.0,0,0,0,0,0,2,45,249.0
signature global solera,0.28,5674.0,2.0,2.0,2,not avilable,11.0,North,Relatively New,sector 107,493.479,flat,,,489.0,0,0,0,0,0,2,29,247.0
signature global solera,0.28,5623.0,2.0,2.0,2,not avilable,14.0,North-West,Relatively New,sector 107,497.955,flat,,,489.0,0,0,0,0,0,2,38,249.0
signature global solera,0.28,5725.0,2.0,2.0,2,not avilable,10.0,South,Relatively New,sector 107,489.083,flat,,,489.0,0,0,0,0,0,2,38,245.0
signature global grand iva,0.24,6527.0,1.0,1.0,1,not avilable,4.0,North-East,Relatively New,sector 103,367.703,flat,,,360.0,0,0,0,0,0,2,23,368.0
signature global solera,0.35,6489.0,2.0,2.0,2,not avilable,8.0,North-West,Relatively New,sector 107,539.374,flat,,,547.0,0,0,0,0,0,2,45,270.0
signature global solera,0.51,7906.0,3.0,2.0,2,others,9.0,South,Relatively New,sector 107,645.08,flat,,,645.0,0,0,0,0,1,2,15,215.0
signature global solera,0.35,6398.0,2.0,2.0,2,not avilable,8.0,South,Relatively New,sector 107,547.046,flat,,,547.0,0,0,0,0,0,2,45,274.0
signature global solera,0.29,5828.0,2.0,2.0,2,not avilable,11.0,South,Relatively New,sector 107,497.598,flat,,,489.0,0,0,0,0,0,2,45,249.0
signature global solera,0.36,6581.0,2.0,2.0,2,not avilable,8.0,South-East,Relatively New,sector 107,547.029,flat,,,547.0,0,0,0,0,0,2,45,274.0
emaar mgf emerald floors premier,2.0,12121.0,3.0,3.0,3,servant room,1.0,North-West,Relatively New,sector 65,1650.029,flat,,,1650.0,0,1,0,0,0,0,124,550.0
bptp mansions park prime,2.7,9768.0,4.0,4.0,3,"servant room,others",6.0,,Relatively New,sector 66,2764.128,flat,2764.0,,,0,1,0,0,1,2,13,691.0
m3m golfestate,4.94,16233.0,3.0,4.0,3,servant room,15.0,North-East,Moderately Old,sector 65,3043.184,flat,3043.0,,,0,1,0,0,0,2,165,1014.0
tulip violet,1.75,8706.0,4.0,4.0,2,not avilable,10.0,North-East,Relatively New,sector 69,2010.108,flat,2010.0,,,0,0,0,0,0,0,109,503.0
shree vardhman flora,1.25,4854.0,4.0,5.0,2,"study room,servant room",8.0,South,Relatively New,sector 90,2575.196,flat,2575.0,,,1,1,0,0,0,2,165,644.0
shree vardhman flora,0.92,4906.0,3.0,4.0,3,servant room,4.0,North-East,Relatively New,sector 90,1875.255,flat,1875.0,,1161.0,0,1,0,0,0,2,116,625.0
shree vardhman flora,1.3,5252.0,4.0,5.0,2,"study room,servant room",9.0,North-East,Relatively New,sector 90,2475.248,flat,2475.0,,1825.0,1,1,0,0,0,2,110,619.0
tulip lemon,0.62,12863.0,2.0,2.0,1,not avilable,4.0,North-East,Relatively New,sector 69,482.003,flat,,,482.0,0,0,0,0,0,0,108,241.0
tulip purple,1.92,8000.0,4.0,5.0,3+,servant room,5.0,East,Relatively New,sector 69,2400.0,flat,2400.0,,,0,1,0,0,0,0,158,600.0
the lions cghs,2.0,8333.0,4.0,4.0,3,others,8.0,West,Relatively New,sector 56,2400.096,flat,2400.0,,2100.0,0,0,0,0,1,0,49,600.0
tulip ivory,2.0,8333.0,4.0,5.0,3+,servant room,2.0,South-East,Relatively New,sector 70,2400.096,flat,2400.0,,,0,1,0,0,0,0,49,600.0
professional society,0.75,3067.0,3.0,4.0,3,servant room,3.0,East,Relatively New,sector 1,2445.386,flat,,,2445.0,0,1,0,0,0,2,21,815.0
ss the leaf,1.85,7682.0,3.0,4.0,3,"study room,servant room",2.0,North,Relatively New,sector 85,2408.227,flat,2408.0,,,1,1,0,0,0,0,49,803.0
tarc maceo,0.89,6339.0,2.0,2.0,3+,others,9.0,East,Relatively New,sector 91,1404.007,flat,1404.0,,1200.0,0,0,0,0,1,0,13,702.0
orris aster court premier,1.25,5896.0,3.0,4.0,2,servant room,6.0,East,Relatively New,sector 85,2120.081,flat,2120.0,,,0,1,0,0,0,0,49,707.0
shapoorji pallonji joyville gurugram,2.15,12706.0,3.0,3.0,3,not avilable,10.0,South-West,Relatively New,sector 102,1692.114,flat,1692.0,,1592.0,0,0,0,0,0,0,49,564.0
ireo victory valley,3.05,12650.0,3.0,3.0,3+,servant room,21.0,South-West,Relatively New,sector 67,2411.067,flat,2411.0,,1688.0,0,1,0,0,0,0,157,804.0
m3m merlin,2.65,12945.0,3.0,3.0,3,others,0.0,North-East,Relatively New,sector 67,2047.122,flat,2047.0,,1700.0,0,0,0,0,1,0,174,682.0
signature global synera,0.49,6666.0,2.0,2.0,3,not avilable,5.0,South,Relatively New,sector 81,735.074,flat,735.0,,635.0,0,0,0,0,0,2,117,368.0
aipl zen residences,1.82,10996.0,3.0,3.0,3,not avilable,12.0,South,Relatively New,sector 70a,1655.147,flat,1655.0,,1550.0,0,0,0,0,0,2,108,552.0
signature global synera,0.5,6802.0,2.0,2.0,3,not avilable,6.0,South,Relatively New,sector 81,735.078,flat,735.0,,635.0,0,0,0,0,0,2,117,368.0
umang winter hills,0.92,5049.0,3.0,3.0,3,others,17.0,North-East,Relatively New,sector 77,1822.143,flat,1822.0,,1400.0,0,0,0,0,1,0,49,607.0
shree vardhman victoria,1.65,8461.0,3.0,4.0,3,servant room,1.0,North,Relatively New,sector 70,1950.124,flat,1950.0,,1267.0,0,1,0,0,0,1,167,650.0
capital residences 360,1.1,7586.0,2.0,2.0,2,study room,10.0,South-East,Relatively New,sector 70a,1450.04,flat,1450.0,,,1,0,0,0,0,2,42,725.0
capital residences 360,1.55,7844.0,3.0,3.0,3,"pooja room,study room,servant room,others",8.0,South,Relatively New,sector 70a,1976.033,flat,1976.0,,1400.0,1,1,0,1,1,2,42,659.0
bptp astaire gardens,1.25,8771.0,3.0,3.0,2,others,1.0,South-East,Relatively New,sector 70a,1425.151,flat,1425.0,,1200.0,0,0,0,0,1,2,49,475.0
bptp astaire gardens,1.6,8658.0,4.0,4.0,3,"study room,others",1.0,,Relatively New,sector 70a,1848.002,flat,1848.0,,1400.0,1,0,0,0,1,2,42,462.0
shree vardhman victoria,1.15,8518.0,2.0,2.0,3,"study room,others",8.0,South-East,Relatively New,sector 70,1350.082,flat,1350.0,,,1,0,0,0,1,2,49,675.0
shree vardhman victoria,1.6,8205.0,3.0,3.0,3,"pooja room,study room,servant room,others",10.0,South,Relatively New,sector 70,1950.03,flat,1950.0,,1161.0,1,1,0,1,1,2,43,650.0
bestech park view grand spa,4.0,9523.0,4.0,5.0,3+,servant room,15.0,West,Relatively New,sector 81,4200.357,flat,4200.0,,,0,1,0,0,0,0,127,1050.0
bestech park view grand spa,2.22,8345.0,3.0,4.0,3+,servant room,15.0,South-East,Relatively New,sector 81,2660.276,flat,2660.0,,,0,1,0,0,0,0,174,887.0
bestech park view grand spa,3.0,9419.0,4.0,5.0,2,servant room,6.0,South,Relatively New,sector 81,3185.051,flat,3185.0,,,0,1,0,0,0,0,110,796.0
vatika the seven lamps,1.0,5923.0,2.0,2.0,2,study room,11.0,South,Relatively New,sector 82,1688.334,flat,1435.0,,,1,0,0,0,0,0,90,844.0
pioneer araya,10.75,19500.0,5.0,7.0,3,servant room,10.0,North-East,Relatively New,sector 62,5512.821,flat,5514.0,,,0,1,0,0,0,0,153,1103.0
pioneer araya,9.14,19488.0,4.0,6.0,3,"servant room,study room,store room",16.0,East,Relatively New,sector 62,4690.066,flat,4690.0,,3258.0,1,1,1,0,0,0,146,1173.0
pioneer araya,8.35,19513.0,4.0,6.0,3,"pooja room,servant room",16.0,East,Relatively New,sector 62,4279.198,flat,4279.0,,,0,1,0,1,0,2,153,1070.0
hsiidc sidco shivalik apartments,0.73,3560.0,3.0,3.0,3+,servant room,2.0,South,Moderately Old,sector 1,2050.562,flat,2050.0,,1400.0,0,1,0,0,0,2,80,684.0
imt view society,0.95,3653.0,3.0,4.0,3,servant room,6.0,South-East,Moderately Old,sector 1,2600.602,flat,2600.0,,1900.0,0,1,0,0,0,2,81,867.0
hsiidc sidco shivalik apartments,0.48,3840.0,2.0,2.0,3,not avilable,7.0,South,Moderately Old,sector 1,1250.0,flat,1250.0,,770.0,0,0,0,0,0,2,88,625.0
hsiidc sidco aravali,0.86,3323.0,3.0,3.0,3+,servant room,3.0,South,Moderately Old,sector 1,2588.023,flat,2588.0,,1877.0,0,1,0,0,0,2,81,863.0
