price,bedRoom,bathroom,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_type,agePossession,sector,type,luxury,balcony
2.98,6.0,6.0,1453.0,1,0,0,1,0,2,3.0,3.0,85.0,1.0,2.0,4.0
3.4,3.0,4.0,1760.0,0,1,1,0,0,0,1.0,3.0,145.0,0.0,2.0,3.0
2.28,3.0,3.0,1257.0,0,1,0,0,0,1,2.0,3.0,164.0,0.0,1.0,4.0
0.45,1.0,1.0,500.0,0,0,0,0,0,2,3.0,0.0,162.0,1.0,0.0,0.0
10.75,9.0,9.0,3595.0,0,1,1,1,0,2,3.0,2.0,95.0,1.0,2.0,4.0
3.65,4.0,5.0,2360.0,0,1,0,0,0,0,2.0,0.0,76.0,0.0,3.0,4.0
11.0,5.0,6.0,350.0,0,1,0,1,0,0,3.0,1.0,120.0,1.0,3.0,4.0
13.5,5.0,5.0,4520.0,1,1,0,0,1,0,3.0,0.0,96.0,1.0,2.0,1.0
1.65,4.0,3.0,1560.0,0,1,0,0,0,2,1.0,3.0,158.0,0.0,2.0,3.0
0.96,2.0,2.0,849.0,1,0,0,0,0,2,2.0,3.0,190.0,0.0,3.0,4.0
4.0,3.0,3.0,2071.0604712,0,1,0,0,0,0,2.0,1.0,141.0,0.0,1.0,3.0
1.15,3.0,4.0,1750.0,1,1,0,0,1,0,3.0,2.0,79.0,0.0,0.0,1.0
0.65,3.0,2.0,721.0,0,0,0,1,1,2,3.0,3.0,68.0,1.0,0.0,0.0
9.0,10.0,10.0,3154.0,0,0,0,1,0,0,3.0,2.0,95.0,1.0,2.0,3.0
0.65,2.0,2.0,1080.0,1,0,0,0,0,2,1.0,3.0,175.0,0.0,3.0,3.0
2.0,3.0,3.0,1562.5,0,0,0,0,0,2,3.0,3.0,143.0,0.0,1.0,1.0
1.05,2.0,2.0,834.9557229999999,1,0,0,0,0,2,3.0,1.0,190.0,0.0,1.0,3.0
1.35,4.0,5.0,2692.0,1,1,1,1,0,2,0.0,3.0,66.0,0.0,2.0,4.0
1.72,3.0,3.0,1240.00128,0,1,0,0,0,0,3.0,3.0,167.0,0.0,3.0,3.0
2.45,3.0,4.0,2290.0,1,0,0,0,0,0,3.0,2.0,123.0,0.0,1.0,1.0
0.65,2.0,2.0,580.8000000000001,0,0,0,0,0,2,1.0,3.0,107.0,0.0,2.0,1.0
1.73,4.0,5.0,2048.0,0,1,0,0,0,2,1.0,3.0,169.0,0.0,0.0,4.0
1.01,2.0,2.0,1132.0,0,0,0,0,0,2,0.0,0.0,88.0,0.0,2.0,3.0
2.5,3.0,3.0,1884.0,0,0,0,0,0,2,3.0,1.0,105.0,0.0,2.0,1.0
2.5,3.0,3.0,1549.043,0,0,0,0,0,2,3.0,1.0,140.0,0.0,2.0,0.0
3.95,4.0,5.0,2300.0,0,0,0,0,0,2,2.0,3.0,71.0,0.0,2.0,3.0
2.3,3.0,4.0,2290.0,0,1,0,0,0,2,2.0,1.0,66.0,0.0,3.0,4.0
1.05,2.0,2.0,92.0,0,0,0,0,0,2,2.0,3.0,169.0,0.0,1.0,0.0
1.99,4.0,4.0,1800.0,0,0,0,1,1,0,3.0,2.0,134.0,0.0,2.0,4.0
0.9,3.0,3.0,975.0,0,0,0,0,0,1,2.0,3.0,111.0,0.0,1.0,1.0
0.46,2.0,2.0,990.099,0,0,0,0,0,2,1.0,1.0,179.0,0.0,0.0,2.0
6.5,5.0,5.0,2497.0,0,0,0,0,0,2,3.0,0.0,81.0,1.0,0.0,2.0
1.62,3.0,3.0,1017.0,0,0,1,0,0,0,3.0,1.0,147.0,0.0,3.0,1.0
2.4,3.0,4.0,2128.0,1,1,0,0,0,0,1.0,1.0,164.0,0.0,3.0,4.0
0.56,1.0,1.0,650.0,0,0,0,0,0,2,1.0,0.0,88.0,0.0,2.0,1.0
0.35,1.0,4.0,1001.0,0,0,0,0,0,2,3.0,0.0,21.0,1.0,0.0,0.0
3.1,2.0,2.0,1500.0,1,1,1,0,0,0,1.0,3.0,77.0,0.0,2.0,3.0
8.25,4.0,4.0,240.0,0,1,1,0,0,0,3.0,3.0,124.0,1.0,3.0,4.0
1.85,3.0,3.0,1720.0,0,1,0,0,0,2,2.0,1.0,173.0,0.0,1.0,4.0
3.4,3.0,4.0,1748.0,0,1,0,0,0,2,1.0,0.0,154.0,0.0,1.0,4.0
0.4,2.0,2.0,524.0,0,0,0,0,1,0,0.0,1.0,190.0,0.0,0.0,0.0
0.92,2.0,2.0,996.0,0,0,0,0,1,2,1.0,4.0,148.0,0.0,1.0,3.0
0.32,2.0,2.0,443.365041,0,0,0,0,1,1,1.0,3.0,179.0,0.0,0.0,0.0
0.95,2.0,2.0,1450.0,0,0,0,0,0,0,1.0,3.0,160.0,0.0,3.0,3.0
2.92,3.0,3.0,2100.0,0,1,0,0,0,0,1.0,0.0,127.0,0.0,3.0,3.0
2.25,10.0,10.0,360.0,0,0,0,0,0,2,3.0,0.0,80.0,1.0,0.0,1.0
0.8,2.0,2.0,1297.0,0,0,0,0,0,2,1.0,4.0,173.0,0.0,1.0,1.0
1.19,2.0,2.0,1671.0,0,0,0,0,0,2,2.0,3.0,169.0,0.0,1.0,3.0
0.87,2.0,3.0,1262.4,1,0,0,0,0,2,1.0,1.0,110.0,0.0,1.0,4.0
2.25,3.0,3.0,1360.0,0,0,0,0,0,2,2.0,3.0,76.0,0.0,2.0,1.0
1.3,3.0,3.0,1544.0,0,1,0,0,0,0,2.0,0.0,170.0,0.0,3.0,3.0
5.0,9.0,9.0,2368.0,0,0,0,1,0,0,3.0,3.0,117.0,1.0,2.0,4.0
1.1,8.0,4.0,1797.0,0,0,0,0,0,2,3.0,2.0,114.0,1.0,0.0,4.0
0.36,2.0,2.0,547.0,0,0,0,0,0,2,1.0,3.0,70.0,0.0,1.0,1.0
0.66,2.0,2.0,1310.044,0,0,0,0,0,2,2.0,3.0,110.0,0.0,2.0,4.0
1.08,3.0,3.0,1568.0,0,1,0,0,0,2,3.0,1.0,157.0,0.0,2.0,3.0
1.68,3.0,3.0,1396.0,0,0,0,0,0,2,1.0,3.0,72.0,0.0,3.0,3.0
0.75,2.0,2.0,1060.0,0,0,0,0,0,0,2.0,3.0,157.0,0.0,0.0,3.0
10.3,5.0,6.0,3240.0,1,1,1,1,0,0,3.0,0.0,127.0,1.0,3.0,4.0
1.5,3.0,3.0,1177.0,0,0,0,0,0,0,3.0,3.0,158.0,0.0,2.0,3.0
1.5,3.0,3.0,1730.0,0,0,0,0,0,2,1.0,4.0,65.0,0.0,2.0,4.0
0.38,2.0,2.0,549.174178,0,0,0,0,0,2,3.0,1.0,179.0,0.0,0.0,0.0
0.3,2.0,2.0,640.0,0,0,0,0,0,2,3.0,3.0,190.0,0.0,1.0,1.0
1.3,4.0,4.0,2579.877,0,0,0,0,0,2,1.0,2.0,182.0,0.0,0.0,4.0
5.88,9.0,9.0,2163.0,1,1,0,1,1,1,3.0,3.0,127.0,1.0,3.0,4.0
0.32,2.0,1.0,476.049,0,0,0,0,0,2,0.0,3.0,190.0,0.0,0.0,2.0
2.7,3.0,4.0,1727.2,0,0,0,0,0,2,1.0,0.0,125.0,0.0,0.0,4.0
1.6,4.0,5.0,1940.0,0,1,0,0,0,2,1.0,3.0,165.0,0.0,3.0,4.0
0.4,2.0,2.0,623.0,0,0,0,0,0,2,3.0,1.0,190.0,0.0,1.0,0.0
12.0,5.0,6.0,360.0,0,0,0,0,0,2,3.0,0.0,127.0,1.0,2.0,4.0
15.0,4.0,4.0,4497.68,0,1,1,0,0,0,3.0,0.0,96.0,1.0,1.0,3.0
2.35,3.0,3.0,1720.0,0,1,0,0,0,2,2.0,1.0,78.0,0.0,3.0,3.0
1.1,3.0,3.0,863.910614,1,0,0,1,0,0,2.0,3.0,160.0,0.0,3.0,3.0
1.78,4.0,4.0,1608.0,0,0,0,1,0,0,1.0,3.0,149.0,0.0,3.0,1.0
1.79,3.0,3.0,1548.0,0,1,0,0,0,0,3.0,1.0,158.0,0.0,1.0,3.0
0.42,2.0,2.0,750.0,0,0,0,0,0,2,3.0,3.0,110.0,0.0,1.0,1.0
3.0,4.0,5.0,1631.053767,0,1,0,0,0,1,3.0,3.0,71.0,0.0,3.0,4.0
0.43,2.0,2.0,770.0,0,0,0,0,0,0,3.0,3.0,82.0,0.0,0.0,0.0
0.9,2.0,2.0,1187.0,0,1,0,0,1,2,3.0,1.0,152.0,1.0,3.0,4.0
1.7,3.0,4.0,1500.0,0,1,0,1,0,0,1.0,3.0,64.0,0.0,3.0,4.0
1.2,2.0,2.0,1155.2,0,0,0,0,0,2,0.0,2.0,99.0,0.0,2.0,3.0
0.28,2.0,2.0,613.6,0,0,0,0,1,2,1.0,1.0,179.0,0.0,0.0,1.0
0.43,2.0,2.0,501.0,0,0,0,0,1,2,1.0,1.0,170.0,0.0,2.0,0.0
1.7,5.0,5.0,2001.36,0,0,0,1,1,2,3.0,0.0,79.0,1.0,0.0,3.0
3.4,4.0,4.0,2900.034,0,0,0,0,0,2,0.0,2.0,118.0,0.0,0.0,3.0
1.45,3.0,2.0,86.0,1,0,0,0,0,2,2.0,4.0,105.0,0.0,3.0,4.0
2.38,3.0,4.0,1750.0,1,0,0,0,0,2,3.0,3.0,125.0,0.0,1.0,3.0
1.48,3.0,3.0,1240.00128,0,1,0,0,0,2,1.0,3.0,167.0,0.0,2.0,3.0
2.0,4.0,4.0,2300.0,0,1,0,1,0,0,1.0,3.0,71.0,0.0,3.0,4.0
1.24,2.0,2.0,1741.0,0,0,0,0,0,2,1.0,3.0,169.0,0.0,1.0,3.0
19.0,5.0,6.0,6000.0,0,1,1,1,0,0,3.0,3.0,145.0,1.0,2.0,4.0
6.95,4.0,4.0,4497.68,1,1,1,1,0,2,3.0,2.0,87.0,1.0,1.0,4.0
1.17,3.0,4.0,1130.0,0,1,0,0,0,2,2.0,3.0,69.0,0.0,1.0,4.0
1.3,2.0,2.0,968.0,1,0,0,0,0,2,3.0,1.0,105.0,0.0,0.0,1.0
3.5,6.0,5.0,2044.4,1,1,0,1,1,1,3.0,2.0,126.0,1.0,3.0,1.0
2.33,3.0,3.0,1859.0,0,1,0,0,0,2,3.0,1.0,78.0,0.0,3.0,3.0
1.19,3.0,3.0,1600.0,0,1,0,0,0,0,1.0,3.0,167.0,0.0,1.0,1.0
2.25,3.0,3.0,1650.0,0,1,0,0,0,0,1.0,3.0,156.0,0.0,3.0,1.0
5.6,4.0,6.0,3885.6,0,1,0,0,0,0,2.0,0.0,77.0,0.0,3.0,4.0
3.5,9.0,9.0,2605.0,1,0,0,0,0,2,3.0,3.0,174.0,1.0,0.0,4.0
1.35,3.0,2.0,1300.0,0,0,0,0,0,2,3.0,1.0,105.0,0.0,2.0,1.0
3.75,6.0,6.0,1464.0,0,0,0,0,1,2,3.0,0.0,125.0,1.0,1.0,3.0
1.35,2.0,2.0,912.0,0,0,0,0,0,2,3.0,2.0,99.0,0.0,2.0,2.0
0.28,2.0,2.0,520.0,0,0,0,0,0,2,2.0,1.0,190.0,0.0,0.0,1.0
6.3,4.0,4.0,1797.0,0,1,1,0,0,2,3.0,2.0,95.0,1.0,2.0,4.0
0.5,2.0,1.0,904.0,0,0,1,0,0,2,3.0,2.0,99.0,1.0,0.0,1.0
3.5,4.0,5.0,3062.653,0,1,0,0,1,2,2.0,3.0,154.0,0.0,1.0,4.0
7.8,4.0,4.0,3240.0,1,1,1,1,0,0,3.0,3.0,124.0,1.0,3.0,4.0
0.8,2.0,2.0,1056.0,0,0,1,0,0,2,1.0,0.0,167.0,0.0,0.0,1.0
6.0,8.0,5.0,1797.0,0,0,0,0,0,0,3.0,2.0,96.0,1.0,0.0,4.0
0.94,2.0,2.0,1148.0,1,0,0,0,0,0,2.0,3.0,165.0,0.0,2.0,1.0
2.3,4.0,4.0,1800.0,0,1,0,1,0,2,1.0,1.0,105.0,0.0,1.0,4.0
0.5,2.0,2.0,644.0,0,0,0,0,0,1,3.0,3.0,173.0,0.0,2.0,0.0
2.3,3.0,4.0,1950.0,0,1,0,0,0,0,1.0,3.0,164.0,0.0,1.0,4.0
0.45,2.0,2.0,625.490229,0,0,0,0,0,2,1.0,1.0,171.0,0.0,0.0,0.0
1.12,3.0,3.0,1126.0,1,1,1,1,0,0,3.0,3.0,167.0,0.0,3.0,1.0
2.2,4.0,4.0,2900.0,0,1,0,0,0,2,1.0,3.0,168.0,0.0,0.0,3.0
1.85,2.0,3.0,1251.0,0,1,0,0,1,0,2.0,3.0,145.0,0.0,2.0,3.0
1.01,2.0,2.0,950.0,1,0,0,0,0,2,2.0,3.0,190.0,0.0,2.0,3.0
1.04,3.0,2.0,1100.0,0,0,0,0,0,2,3.0,0.0,167.0,0.0,2.0,1.0
3.55,3.0,5.0,2000.0,0,1,0,0,0,0,2.0,2.0,102.0,0.0,3.0,4.0
4.5,4.0,4.0,3000.0,0,1,0,1,0,0,0.0,3.0,146.0,0.0,1.0,4.0
0.58,2.0,2.0,600.0,0,0,0,0,0,2,3.0,3.0,190.0,0.0,2.0,1.0
11.0,13.0,13.0,3240.0,1,1,0,1,0,1,3.0,3.0,98.0,1.0,3.0,4.0
0.95,2.0,2.0,1665.79,0,1,0,0,0,2,2.0,4.0,110.0,0.0,2.0,2.0
