building type_1 BHK,area low 1 BHK,area high 1 BHK,price low 1 BHK,price high 1 BHK,building type_2 BHK,area low 2 BHK,area high 2 BHK,price low 2 BHK,price high 2 BHK,building type_3 BHK,area low 3 BHK,area high 3 BHK,price low 3 BHK,price high 3 BHK,building type_4 BHK,area low 4 BHK,area high 4 BHK,price low 4 BHK,price high 4 BHK,building type_5 BHK,area low 5 BHK,area high 5 BHK,price low 5 BHK,price high 5 BHK,building type_6 BHK,area low 6 BHK,area high 6 BHK,price low 6 BHK,price high 6 BHK,building type_1 RK,area low 1 RK,area high 1 RK,price low 1 RK,price high 1 RK,building type_Land,area low Land,area high Land,price low Land,price high Land
,,,,,Apartment,730.0,849.0,0.91,1.06,Apartment,1062.0,1276.0,1.32,1.59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1650.0,1650.0,1.29,1.35,Apartment,3200.0,3200.0,2.6,2.62,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1012.0,1593.0,1.39,3.15,Apartment,1459.0,2319.0,2.0,4.58,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1782.0,1782.0,1.22,13.03,Independent Floor,2250.0,4739.35,1.35,34.65,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Villa,2268.0,2268.0,,,Villa,3600.0,5072.0,,,Villa,2700.0,7582.0,,,,,,,,,,,,,,2286.0,9900.0,,
,,,,,,,,,,Apartment,1704.0,1704.0,1.32,1.38,,,,,,Apartment,2946.0,2946.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1770.0,2229.0,1.59,4.95,Independent Floor,1900.0,3560.0,1.71,7.91,,,,,,,,,,,,,,,,,1620.0,4500.0,2.7,10.0
,,,,,Independent Floor,990.0,1200.0,0.99,1.37,Independent Floor,1350.0,4500.0,1.35,6.67,Villa,1975.0,1975.0,,,,,,,,,,,,,,,,,,,2403.0,6750.0,9.2,28.57
,,,,,Apartment,2230.0,2240.0,2.75,6.03,Apartment,2850.0,6060.0,4.0,11.27,Apartment,4096.0,11635.0,5.72,21.64,Apartment,11224.0,13343.0,19.08,24.81,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2290.0,2290.0,1.6,2.0,Apartment,3150.0,3150.0,1.9,2.75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1750.0,2650.0,1.45,2.35,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1050.0,1050.0,,,Independent Floor,1305.0,1470.0,1.0,1.15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Villa,5843.51,5843.51,,,Independent Floor,3750.0,4700.0,4.3,6.27,Independent Floor,5511.12,6240.26,7.35,8.32,,,,,,,,,,,,1345.0,6670.0,2.75,15.56
,,,,,Apartment,2441.0,2441.0,2.7,2.8,Apartment,2802.0,3763.0,2.97,4.4,Villa,6350.0,7400.0,7.99,8.49,Apartment,8515.0,8515.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Independent Floor,2100.0,2200.0,2.39,2.57,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.96,1307.6,34.96,0.5522
,,,,,Apartment,1100.0,1250.0,1.65,1.88,Apartment,1500.0,1800.0,2.25,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,7196.0,7685.0,40.0,46.88,Apartment,9000.0,13000.0,48.65,72.37,Apartment,11000.0,16500.0,59.46,97.35,,,,,,,,,,
,,,,,,,,,,Apartment,1225.0,1372.0,3.15,3.53,Apartment,1737.0,2040.0,4.69,5.51,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1627.7,1675.87,4.2,4.32,Apartment,1361.0,2232.84,3.5,7.38,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,2246.0,2370.0,7.8,8.42,Apartment,2651.0,3518.0,9.3,12.34,Apartment,3081.0,4969.0,9.5,15.32,Apartment,6147.0,6147.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,6350.0,6400.0,19.84,30.0,Apartment,5825.0,10777.0,25.9,48.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,5575.0,5600.0,22.2,22.4,Apartment,5866.0,9600.0,23.2,38.4,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,3498.0,3858.0,5.95,7.7,Apartment,3498.0,7673.0,5.17,11.33,Apartment,5761.0,9625.0,13.01,16.0,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2019.0,2727.0,1.85,3.98,Apartment,3103.0,5790.0,3.72,8.44,,,,,,,,,,,,,,,,,,,,
